N_target,kind,shape_p50_diff_mean_fps,shape_p50_diff_mean_wrs,shape_p90_diff_mean_fps,shape_p90_diff_mean_wrs,centroid_drift_mean_fps,centroid_drift_mean_wrs,nn_p95_mean_fps,nn_p95_mean_wrs,unique_ratio_mean_fps,unique_ratio_mean_wrs,max_dup_p95_fps,max_dup_p95_wrs,jitter_ratio_fps,jitter_ratio_wrs,n_files
48,overall,0.01100889293938508,0.010431611128578445,0.05105824975437338,0.05233105831039086,0.034049630452650206,0.03055956200711492,0.012112204879865043,0.021831712395334588,0.6925886039511239,0.6925886039511239,11.409027777777775,11.409027777777775,0.9954115656495627,0.9976278936487347,720
48,down,0.010892633508806001,0.009169150837737394,0.022764571838194803,0.025699802434970588,0.031921221347621064,0.022577097484434986,0.02915559293065198,0.050647014211044714,1.0,1.0,1.0,1.0,0.9960207536326278,0.9983036665931483,699
48,up,0.010829219080507126,0.010829219080507126,0.06703963264428953,0.06703963264428953,0.034781803772514774,0.034781803772514774,0.0,0.0,0.488042276229345,0.488042276229345,12.762916666666666,12.762916666666666,0.9954115656495627,0.9976278936487347,720
56,overall,0.010511498362015715,0.009707966035796555,0.04941201039105947,0.04973934404946866,0.03286540071472099,0.02882269108659157,0.00832783771806868,0.014776195148989668,0.6469256358201082,0.6469256358201082,13.019652777777775,13.019652777777775,0.9952500452946285,0.9971354216382804,720
56,down,0.010721347153612098,0.00815776389888221,0.021796328803364153,0.02268643942764725,0.03365099261902578,0.02077292676415616,0.025564230665927726,0.04335561877877594,1.0,1.0,1.0,1.0,0.996606722163382,0.9985942345607892,683
56,up,0.010039741056725298,0.010039741056725298,0.05982610977142626,0.05982610977142626,0.031677008451144475,0.031677008451144475,0.0,0.0,0.4866269255986977,0.4866269255986977,14.319374999999996,14.319374999999996,0.9952500452946285,0.9971354216382804,720
64,overall,0.010073644989085919,0.00920978084351552,0.04955471830560901,0.04916999479091837,0.03148148209995408,0.02735215790752205,0.00561932121346243,0.009730865279263187,0.6025522017335392,0.6025522017335392,14.661666666666664,14.661666666666664,0.9949594262682265,0.9964223653993285,720
64,down,0.010986200161843063,0.007686256782652275,0.022077069214579328,0.02095267176198281,0.03511819962675263,0.01866622215912389,0.022200580535618394,0.037017183880677845,1.0,1.0,1.0,1.0,0.9965936247250693,0.9981728093943247,667
64,up,0.009450385013456426,0.009450385013456426,0.05615897913067048,0.05615897913067048,0.029455001836730867,0.029455001836730867,0.0,0.0,0.4784457450375999,0.4784457450375999,15.755416666666664,15.755416666666664,0.9949594262682265,0.9964223653993285,720
